Recipe ID	Recipe Name	Ingredients	Instructions	Total GHG	Energy (g)
49	Pork and Potato Soup	Water: 1200, Other seasoning: 0, Other leafy vegetables: 0, Onion: 400, Flavor seasoning: 21.2, Carrot: 300, Potato: 450, Pork: 400	['(1) Cut the pork into 2cm wide pieces. Cut the potatoes into quarters, and cut the onions into 2cm wide wedges. Cut the carrots into chunks. ', '(2) Heat a little oil (not listed) in a pot, add the pork from (1), and brown the surface while wiping off excess fat with kitchen paper. ', '(3) A, Add the potatoes, onions, and carrots from (1) and simmer for about 15 minutes, removing the scum, until the ingredients are cooked through. ', '(4) Place in a bowl and sprinkle with pepper and parsley to taste. ', '*Take off the heat from the remaining soup, store it in the refrigerator, and enjoy it as soon as possible. ', '*You can use the leftover Tonjaga Soup to make Tonjaga Curry, Tonjaga Tomato Soup, and Tonjaga Stew. ']	570.80	327.75
50	Pork and Vegetable Napolitan-style Stir-fry	Edible oil: 12, Onion: 100, Flavor seasoning: 5.3, Pork: 150, Green pepper: 150, Ketchup: 30, Cheese: 0	['(1) Cut the bell peppers, onions, and paprika vertically into 1cm wide pieces. ', '(2) Heat olive oil in a frying pan and fry the pork. When the meat changes color, add the green peppers, onions, paprika, and ``consomme'' from (1) and stir-fry until tender. ', '(3) Add ketchup, mix, place in a bowl, and sprinkle with grated cheese. ', '*The umami of the consommé and the sweetness of the ketchup soften the bitterness of the green pepper, allowing you to enjoy plenty of delicious vegetables. ']	665.79	254.18
51	Special Homemade Twice-cooked Pork	Water: 82.5, Other seasoning: 20, Sugar: 12, Edible oil: 24, Other root vegetables: 25, Soy sauce: 18, Green onion: 33.3333, Cabbage: 100, Other dried food/seaweed: 9, Dried soup: 1.25, Pork: 240, Green pepper: 35	['(1) Cut the pork into 5cm wide pieces, and cut the cabbage into bite-sized pieces. Remove the seeds from the peppers and cut into chunks, and cut the green onions diagonally into 1cm wide pieces. ', '(2) Heat 1 tablespoon of oil in a frying pan, fry the cabbage and peppers from (1) over high heat, then remove. Fry the pork and green onions from (1) in a frying pan over medium heat, and once the meat is browned, take it out. ', '(3) Heat the remaining oil in a frying pan and stir-fry A over medium heat. When it becomes fragrant, add B and bring to a boil. ', '(4) Add back the pork and green onions from (2) and mix together. Add back the cabbage and green pepper from (2) and stir-fry. Add the water-soluble potato starch from C to thicken it. ', '*Please adjust the amount of ``Aged Bean Sauce'' to your preference. ']	461.08	317.28
52	Special Homemade Mapo Eggplant	Water: 215, Other seasoning: 25, Sugar: 3, Edible oil: 48, Other root vegetables: 13, Other alcohol: 27.5, Soy sauce: 12, Other dried food/seaweed: 9, Carrot: 43.75, Dried soup: 5, Pork: 100, Eggplant: 400, Green pepper: 70	['(1) Cut the eggplant into 8-10 equal pieces vertically, cut the carrots into strips, and cut the green pepper into 6-8 equal pieces vertically. ', '(2) Heat 3 tablespoons of oil in a frying pan and fry the eggplant from (1) over medium heat. When browned, add the carrots and green pepper from (1) and fry over low heat until cooked through. Once done, take it out. ', '(3) Heat the remaining oil in a frying pan and stir-fry the minced meat over medium heat. When it is heated, add A and stir-fry. Add B and stir-fry some more until it becomes fragrant, then add C and bring to a boil. ', '(4) Add back the eggplant, carrots, and green pepper from (2) and stir-fry. Add the water-dissolved potato starch from D to thicken it. ']	405.24	215.27
53	Somen Bibim Noodles	Water: 100, Other seasoning: 30, Sugar: 9, Edible oil: 9, Soy sauce: 12, Other dried food/seaweed: 6, Dried soup: 10, Pork: 160, Dried udon・Soba: 200, Vinegar: 15, Cucumber: 100	['(1) Quickly blanch the pork, cool in cold water, and drain. Cut the cucumber into thin slices. Mix A in a bowl to make the sauce. ', '(2) Boil water in a pot, boil somen noodles, and rinse with cold water. Drain in a colander. ', '(3) Add somen from (2), pork, cucumber, and sauce from (1) into a bowl, mix well, place on a plate, and sprinkle with sesame seeds. ']	862.49	639.30
54	Exquisite Soup with Meat-wrapped Glass Noodles	Water: 600, Edible oil: 9, Flavor seasoning: 6, Other dried food/seaweed: 25, Carrot: 30, Pork: 200, Miso: 45, Spinach: 40	['(1) Sprinkle the pork with potato starch and roll it from the end into bite-sized balls. Cut the spinach into 3cm lengths and cut the carrots into thin strips. Cut the vermicelli into easy-to-eat lengths. ', '(2) Heat sesame oil in a pot and roast the pork from (1) with the rolled end facing down. Turn the pork and once it is browned all over, add the spinach and carrots from (1) and stir-fry further. ', '(3) When the vegetables become soft, add water. When it comes to a boil, add the vermicelli from (1) and simmer for 2 to 3 minutes until the vermicelli becomes soft, then stir in the miso. ', '(4) Place in a bowl and sprinkle with sesame seeds as desired. ']	436.45	172.71
55	Teriyaki Hamburger with Thick Fried Tofu and Crispy Onions	Water: 100, Other seasoning: 18, Other leafy vegetables: 0, Sugar: 9, Edible oil: 12, Onion: 110, Soy sauce: 18, Flavor seasoning: 3, Other dried food/seaweed: 18, Fried tofu: 200, Pork: 80, Egg: 60	['(1) Cut the fried tofu and onions into 5mm cubes. Cut mizuna into easy-to-eat lengths. ', '(2) Put the minced meat, deep-fried tofu and onions from (1), and A into a bowl, knead well, cut into 8 equal parts, and shape into oval shapes. ', '(3) Heat oil in a frying pan, add the hamburger steak from (2), fry both sides, then add B. ``Hondashi'' and boil. ', '(4) Place the mizuna from (1) and the hamburger steak from (3) on a plate. ']	337.33	206.76
56	Simple Pancake	Water: 70, Other seasoning: 10, Other leafy vegetables: 50, Edible oil: 30, Soy sauce: 30, Carrot: 29.1667, Dried soup: 2.5, Pork: 80, Wheat flour: 50	['(1) Cut the chives into 3cm lengths, and cut the carrots into thin strips. ', '(2) Add ingredients A in order into a bowl and mix well. Add pork, chives and carrots from (1) and mix thoroughly to form a dough. ', '(3) Mix B in a separate bowl to make the sauce. ', ' (4) Heat sesame oil in a frying pan, pour in the batter from (2), level it to an even thickness, and fry it until both sides are crispy. ', '(5) Cut into bite-sized pieces, place on a plate, and add the sauce from (3). ']	356.56	326.71
57	Handmade Dumplings	Edible oil: 0, Other root vegetables: 9, Green onion: 25, Cabbage: 175, Dried soup: 5, Sauce: 18, Pork: 125, Other grains: 200	['(1) Finely chop the cabbage, sprinkle with salt, and when it becomes soft, squeeze out the water. ', '(2) Put the minced meat, cabbage, green onion, and A from (1) into a bowl and mix well until it becomes sticky to make the filling. ', '(3) Place the ingredients from (2) evenly on the gyoza skin and wrap. ', '(4) Heat oil in a frying pan and fry the gyoza from (3) side by side until the bottom is browned. Add water (not listed) to half the height of the dumplings, cover, and steam-fry over medium-high heat for 4 to 5 minutes. ', '(5) When the water is almost gone, remove the lid, add an appropriate amount of oil, evaporate the water, and when it becomes crispy, take it out on a plate. ']	567.71	219.17
58	Pork Ginger	Water: 50, Other seasoning: 4, Edible oil: 24, Other root vegetables: 5, Cabbage: 0, Pork: 300, Wheat flour: 0	['(1) Sprinkle the pork with flour. ', '(2) Heat oil in a frying pan and fry the pork from (1). When the meat changes color, add A and simmer until the liquid evaporates. ', '(3) Place in a bowl and add cabbage. ', '*You can make it even more delicious by using it together with "Meat Softening Mix". ']	908.14	479.83
59	Tomato and Eggplant Stir-fry	Water: 50, Other seasoning: 13, Edible oil: 24, Other dried food/seaweed: 15, Pork: 100, Eggplant: 320, Tomato: 175	['(1) Cut the eggplant into chunks and the tomatoes into wedges. ', '(2) Heat oil in a frying pan, fry the eggplant from (1), and remove it to a plate. ', '(3) Add the minced meat to the frying pan from (2), add the tomatoes from (1), add the eggplant from (2) back in, add A and mix. Bring to a boil, then thicken with water-soluble potato starch. . ']	793.16	279.26
60	Delicious Meat and Vegetable Stir-fry	Other seasoning: 0, Edible oil: 24, Salt: 0, Cabbage: 300, Carrot: 50, Dried soup: 5, Sauce: 18, Pork: 150, Green pepper: 50, Mushroom: 100	['(1) Cut the pork into 3-4cm wide pieces and season with salt and pepper. Cut the cabbage into bite-sized pieces, and cut the carrots and peppers into strips. Divide the shimeji mushrooms into florets. ', '(2) Heat oil in a frying pan and fry the pork, carrots, cabbage, shimeji mushrooms, and green pepper from (1) in that order. ', '(3) When the heat goes through, add ``chicken soup'' and ``oyster sauce'' in that order and stir-fry. ']	726.38	293.61
61	Refreshing Pan-fried Tofu and Mushroom	Water: 150, Other seasoning: 0, Other leafy vegetables: 0, Sugar: 18, Edible oil: 12, Soy sauce: 36, Flavor seasoning: 6, Green onion: 400, Fried tofu: 250, Pork: 150, Vinegar: 60, Other mushroom: 100	['(1) Cut the tofu in half lengthwise, cut into 2cm-wide pieces, and pour hot water over them. Cut the king king mushroom in half lengthwise, then into 1.5cm thick and 4cm long pieces. Cut the onion into 4cm lengths. ', '(2) Heat oil in a frying pan, add pork and stir-fry. Add A, ``Hondashi'' and tofu-age (deep-fried tofu) from (1). Cover and simmer over medium heat for 3 minutes. Add the king king mushrooms from (1), cover, and simmer for another 2 to 3 minutes. ', '(3) Add the onions from (1), mix well, turn off the heat, and sprinkle with shichimi chili pepper to finish. Sprinkle with mizuna if you like. ']	645.84	255.53
62	Pan-fried Bell Peppers and Eggplants with Ginger	Water: 300, Other seasoning: 54, Sugar: 9, Edible oil: 12, Other root vegetables: 24, Other alcohol: 15, Soy sauce: 72, Flavor seasoning: 3, Other dried food/seaweed: 9, Pork: 300, Eggplant: 160, Green pepper: 175	['(1) Marinate the pork in A for 5 minutes, then add the potato starch and mix. ', '(2) Cut the bell pepper in half lengthwise, then cut into 2-3cm pieces. Peel the long eggplant with a peeler, cut into bite-sized pieces, and soak in water. ', '(3) Heat the oil in a frying pan, add the pork from (1) into bite-sized balls, and cook over low heat until the surface becomes firm. ', '(4) Move the pork from (3) to the front of the frying pan, add the eggplant from (2) to the empty space, and stir-fry quickly. ', '(5) Add B, ``Hondashi'' and green pepper from (2), cover and simmer over medium heat until softened. ', '(6) Garnish with needle ginger if you like. ']	685.75	262.54
63	Chinese-style Meat and Vegetable Stir-fry	Water: 10, Other seasoning: 0, Other leafy vegetables: 50, Edible oil: 12, Onion: 100, Other root vegetables: 5, Soy sauce: 6, Cabbage: 200, Other dried food/seaweed: 6, Carrot: 43.75, Dried soup: 5, Sauce: 18, Pork: 100, Bean sprout: 83.3333	['(1) Mix A in a bowl to make a combined seasoning. Cut the cabbage into bite-sized pieces and cut the onion into wedges. Cut the carrots into strips and the chives into 3cm lengths. ', '(2) Heat oil in a frying pan, stir-fry garlic and pork, add carrots, onions, cabbage, bean sprouts from (1), and chives from (1) in that order. ', '(3) Mix well and add the seasoning mixture from (1) to thicken. ', '*If you like, add sesame oil (1 teaspoon) to make the flavor even better. ']	543.71	235.39
64	Pork Ginger-style Stir-fry	Other seasoning: 7, Edible oil: 2, Onion: 200, Other root vegetables: 5, Other alcohol: 30, Soy sauce: 12, Dried soup: 1.25, Pork: 160, Wheat flour: 3	['(1) Sprinkle the pork lightly with flour. Cut the onions into thin slices. ', '(2) Heat oil in a frying pan, fry the onions and pork from (1), add A. ``Whole chicken soup'', adjust the taste, and boil to coat. ']	570.48	265.54
65	Mochi Meat-wrapped	Water: 50, Sugar: 9, Edible oil: 6, Soy sauce: 18, Flavor seasoning: 0.75, Green onion: 0, Pork: 160, Rice cake: 100	['(1) Cut the mochi vertically into 4 pieces and wrap it with pork. ', '(2) Heat oil in a frying pan, place the end of the roll from (1) on the bottom, lightly brown the whole thing, add ``Hondashi'' and A and toss to coat. ', '(3) Place on a plate and sprinkle with small onions. ']	802.10	361.93
66	Simple Microwave Meat and Potatoes	Water: 60, Sugar: 9, Onion: 25, Soy sauce: 18, Flavor seasoning: 1, Carrot: 29.1667, Potato: 150, Pork: 60	['(1) Cut the pork into 5cm lengths. Cut the potatoes into small pieces and soak in water. Slice the onion into 5mm-wide slices, and cut the carrot into thin rounds. ', '(2) Spread the pork from (1) on a heat-resistant plate, place the onions, potatoes, and carrots from (1) on top, and pour the mixed ``Hondashi'' and A over it. ', '(3) Cover with plastic wrap and heat in the microwave (600W) for 8 minutes, then leave the wrap on until it has cooled down (it will be steamed and become moist)', '(4) Mix everything thoroughly. ']	571.55	287.05
67	Simple Chinese Bowl	Rice: 127.273, Other seasoning: 0, Edible oil: 3, Other root vegetables: 4.5, Other alcohol: 15, Salt: 0, Other dried food/seaweed: 9, Carrot: 58.3333, Dried soup: 5, Pork: 150, Chinese cabbage: 200	['(1) Cut the Chinese cabbage into bite-sized pieces. Cut the carrot into 4cm long pieces. ', '(2) Add sesame oil, garlic, and ginger to a frying pan, heat, and stir-fry the pork. ', '(3) When the meat changes color, add the Chinese cabbage and carrots from (1) and stir-fry, then add 1/2 cup of water and the combined A. ', '(4) Boil over medium heat for about 2 minutes, then add potato starch dissolved in 2 tablespoons of water to thicken it. ', '(5) Pour the rice into a bowl and add the ingredients from (4). ']	810.37	427.30
68	Tonkatsu Steak	Other seasoning: 0.5, Sugar: 3, Edible oil: 4, Other root vegetables: 10, Salt: 0, Soy sauce: 6, Cabbage: 0, Sauce: 18, Pork: 300, Ketchup: 15	['(1) Cut the pork into strips and sprinkle with salt and pepper. Slice the garlic thinly. ', '(2) Heat the oil and garlic from (1) in a frying pan, then fry the pork from (1) over medium heat for about 2 minutes until both sides are browned. Halfway through, when the garlic turns golden brown, take it out. ', '(3) Add the combined A, boil for about 1 minute, and remove the pork. ', '(4) When the pork has cooled down, make cuts in the pork, place on a plate, sprinkle with the sauce from (3), the garlic chips from (2), and add the cabbage. ']	913.54	694.78
69	Pork Chops	Water: 50, Other seasoning: 0, Edible oil: 4, Onion: 100, Salt: 0, Flavor seasoning: 1.325, Sauce: 36, Pork: 300, Tomato: 0, Ketchup: 30, Broccoli: 0	['(1) Cut the pork into strips and sprinkle with salt and pepper. Cut the onions into thin slices. ', '(2) Heat oil in a frying pan, quickly fry the onion from (1), and move it to the edge. Add the pork from (1) and fry for 1 to 2 minutes until golden brown on both sides. ', '(3) Add mixed A and simmer for about 3 minutes. ', '(4) Place on a plate and add tomatoes and broccoli. ']	955.92	715.69
70	Pumpkin Soboro Stew	Water: 205, Sugar: 9, Edible oil: 4, Other root vegetables: 2.5, Other alcohol: 15, Soy sauce: 18, Flavor seasoning: 0.75, Other dried food/seaweed: 3, Pork: 100, Pumpkin: 300	['(1) Remove seeds and pulp from pumpkin and cut into 3cm cubes. ', '(2) Heat oil in a pot, add minced meat and stir with 3 to 4 chopsticks to make minced meat. ', '(3) Add the same amount of water to the pumpkin from (1) and bring it to a boil. Remove the scum that comes out, add ``Hondashi'' and A to add flavor. Cover with a dropper and 5 minutes until the pumpkin is soft. Simmer for about a minute. ', '(4) Add the water-soluble potato starch from B to thicken it. ']	518.58	216.03
